model,contrast,metric,pairs,bootstrap_position_blocks,baseline,treatment,difference,bootstrap_low,bootstrap_high,improved,worsened
foundry/gpt-5.4,format-instruction,delimitation_error,20,20,15,0,-0.75,-0.9,-0.6,0,15
foundry/gpt-5.4,format-instruction,content_exact,20,20,0,12,0.6,0.45,0.75,12,0
foundry/gpt-5.4,format-instruction,exact_match,20,20,0,12,0.6,0.45,0.75,12,0
foundry/gpt-5.4,format-instruction,no_answer,20,20,5,7,0.1,-0.15,0.3,4,2
foundry/gpt-5.4,format-instruction,target_token_in_candidate,20,20,15,12,-0.15,-0.4,0.1,2,5
foundry/gpt-5.4,format-instruction,marker_in_candidate,20,20,14,0,-0.7,-0.9,-0.5,0,14
foundry/gpt-5-mini,pixel-gap,delimitation_error,60,20,49,0,-0.8166666666666667,-0.8833333333333333,-0.75,0,49
foundry/gpt-5-mini,pixel-gap,content_exact,60,20,0,55,0.9166666666666666,0.8333333333333334,1.0,55,0
foundry/gpt-5-mini,pixel-gap,exact_match,60,20,0,40,0.6666666666666666,0.55,0.8,40,0
foundry/gpt-5-mini,pixel-gap,no_answer,60,20,11,5,-0.1,-0.2,0.0,4,10
foundry/gpt-5-mini,pixel-gap,target_token_in_candidate,60,20,49,55,0.1,0.0,0.2,10,4
foundry/gpt-5-mini,pixel-gap,marker_in_candidate,60,20,42,0,-0.7,-0.8166666666666667,-0.5666666666666667,0,42
foundry/gpt-5-mini,labeled-components,delimitation_error,60,20,49,0,-0.8166666666666667,-0.8833333333333333,-0.75,0,49
foundry/gpt-5-mini,labeled-components,content_exact,60,20,0,56,0.9333333333333333,0.8833333333333333,0.9833333333333333,56,0
foundry/gpt-5-mini,labeled-components,exact_match,60,20,0,44,0.7333333333333333,0.65,0.8166666666666667,44,0
foundry/gpt-5-mini,labeled-components,no_answer,60,20,11,4,-0.11666666666666667,-0.18333333333333332,-0.05,3,10
foundry/gpt-5-mini,labeled-components,target_token_in_candidate,60,20,49,56,0.11666666666666667,0.05,0.18333333333333332,10,3
foundry/gpt-5-mini,labeled-components,marker_in_candidate,60,20,42,0,-0.7,-0.8166666666666667,-0.5666666666666667,0,42
foundry/gpt-5-mini,format-instruction,delimitation_error,20,20,18,0,-0.9,-1.0,-0.75,0,18
foundry/gpt-5-mini,format-instruction,content_exact,20,20,0,14,0.7,0.55,0.85,14,0
foundry/gpt-5-mini,format-instruction,exact_match,20,20,0,11,0.55,0.5,0.65,11,0
foundry/gpt-5-mini,format-instruction,no_answer,20,20,2,6,0.2,0.05,0.35,4,0
foundry/gpt-5-mini,format-instruction,target_token_in_candidate,20,20,18,14,-0.2,-0.35,-0.05,0,4
foundry/gpt-5-mini,format-instruction,marker_in_candidate,20,20,16,0,-0.8,-0.95,-0.6,0,16
