model,task_id,layout,arm,metric,count,n,rate,low,high
foundry/Kimi-K2.6,copy-known-value,cards,gap-8,target_token_in_candidate,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/Kimi-K2.6,copy-known-value,cards,gap-8,marker_in_candidate,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/Kimi-K2.6,copy-known-value,cards,gap-96,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,copy-known-value,cards,gap-96,content_exact,2,10,0.2,0.05668215145437519,0.5098375284633583
foundry/Kimi-K2.6,copy-known-value,cards,gap-96,exact_match,2,10,0.2,0.05668215145437519,0.5098375284633583
foundry/Kimi-K2.6,copy-known-value,cards,gap-96,no_answer,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/Kimi-K2.6,copy-known-value,cards,gap-96,target_token_in_candidate,2,10,0.2,0.05668215145437519,0.5098375284633583
foundry/Kimi-K2.6,copy-known-value,cards,gap-96,marker_in_candidate,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,copy-known-value,cards,labeled,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,copy-known-value,cards,labeled,content_exact,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/Kimi-K2.6,copy-known-value,cards,labeled,exact_match,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/Kimi-K2.6,copy-known-value,cards,labeled,no_answer,2,10,0.2,0.05668215145437519,0.5098375284633583
foundry/Kimi-K2.6,copy-known-value,cards,labeled,target_token_in_candidate,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/Kimi-K2.6,copy-known-value,cards,labeled,marker_in_candidate,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,copy-known-value,form,gap-8,delimitation_error,6,10,0.6,0.31267376973365824,0.8318196702937638
foundry/Kimi-K2.6,copy-known-value,form,gap-8,content_exact,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,copy-known-value,form,gap-8,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,copy-known-value,form,gap-8,no_answer,3,10,0.3,0.10779126740630099,0.6032218525388546
foundry/Kimi-K2.6,copy-known-value,form,gap-8,target_token_in_candidate,6,10,0.6,0.31267376973365824,0.8318196702937638
foundry/Kimi-K2.6,copy-known-value,form,gap-8,marker_in_candidate,6,10,0.6,0.31267376973365824,0.8318196702937638
foundry/Kimi-K2.6,copy-known-value,form,gap-96,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,copy-known-value,form,gap-96,content_exact,6,10,0.6,0.31267376973365824,0.8318196702937638
foundry/Kimi-K2.6,copy-known-value,form,gap-96,exact_match,5,10,0.5,0.236593090512564,0.7634069094874361
foundry/Kimi-K2.6,copy-known-value,form,gap-96,no_answer,4,10,0.4,0.16818032970623614,0.6873262302663417
foundry/Kimi-K2.6,copy-known-value,form,gap-96,target_token_in_candidate,6,10,0.6,0.31267376973365824,0.8318196702937638
foundry/Kimi-K2.6,copy-known-value,form,gap-96,marker_in_candidate,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,copy-known-value,form,labeled,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,copy-known-value,form,labeled,content_exact,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/Kimi-K2.6,copy-known-value,form,labeled,exact_match,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/Kimi-K2.6,copy-known-value,form,labeled,no_answer,1,10,0.1,0.017876213095072896,0.4041500267952385
foundry/Kimi-K2.6,copy-known-value,form,labeled,target_token_in_candidate,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/Kimi-K2.6,copy-known-value,form,labeled,marker_in_candidate,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,copy-known-value,table,gap-8,delimitation_error,7,10,0.7,0.39677814746114537,0.8922087325936989
foundry/Kimi-K2.6,copy-known-value,table,gap-8,content_exact,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,copy-known-value,table,gap-8,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,copy-known-value,table,gap-8,no_answer,3,10,0.3,0.10779126740630099,0.6032218525388546
foundry/Kimi-K2.6,copy-known-value,table,gap-8,target_token_in_candidate,7,10,0.7,0.39677814746114537,0.8922087325936989
foundry/Kimi-K2.6,copy-known-value,table,gap-8,marker_in_candidate,6,10,0.6,0.31267376973365824,0.8318196702937638
foundry/Kimi-K2.6,copy-known-value,table,gap-96,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,copy-known-value,table,gap-96,content_exact,6,10,0.6,0.31267376973365824,0.8318196702937638
foundry/Kimi-K2.6,copy-known-value,table,gap-96,exact_match,6,10,0.6,0.31267376973365824,0.8318196702937638
foundry/Kimi-K2.6,copy-known-value,table,gap-96,no_answer,4,10,0.4,0.16818032970623614,0.6873262302663417
foundry/Kimi-K2.6,copy-known-value,table,gap-96,target_token_in_candidate,6,10,0.6,0.31267376973365824,0.8318196702937638
foundry/Kimi-K2.6,copy-known-value,table,gap-96,marker_in_candidate,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,copy-known-value,table,labeled,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,copy-known-value,table,labeled,content_exact,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/Kimi-K2.6,copy-known-value,table,labeled,exact_match,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/Kimi-K2.6,copy-known-value,table,labeled,no_answer,2,10,0.2,0.05668215145437519,0.5098375284633583
foundry/Kimi-K2.6,copy-known-value,table,labeled,target_token_in_candidate,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/Kimi-K2.6,copy-known-value,table,labeled,marker_in_candidate,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,canvas-inline-bar,baseline,delimitation_error,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,canvas-inline-bar,baseline,content_exact,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,canvas-inline-bar,baseline,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,canvas-inline-bar,baseline,no_answer,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,canvas-inline-bar,baseline,target_token_in_candidate,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,canvas-inline-bar,baseline,marker_in_candidate,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,canvas-inline-bar,format,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,canvas-inline-bar,format,content_exact,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/Kimi-K2.6,read-known-value,canvas-inline-bar,format,exact_match,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/Kimi-K2.6,read-known-value,canvas-inline-bar,format,no_answer,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,canvas-inline-bar,format,target_token_in_candidate,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/Kimi-K2.6,read-known-value,canvas-inline-bar,format,marker_in_candidate,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,cards,gap-8,delimitation_error,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/Kimi-K2.6,read-known-value,cards,gap-8,content_exact,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,cards,gap-8,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,cards,gap-8,no_answer,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,cards,gap-8,target_token_in_candidate,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/Kimi-K2.6,read-known-value,cards,gap-8,marker_in_candidate,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/Kimi-K2.6,read-known-value,cards,gap-96,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,cards,gap-96,content_exact,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/Kimi-K2.6,read-known-value,cards,gap-96,exact_match,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/Kimi-K2.6,read-known-value,cards,gap-96,no_answer,1,10,0.1,0.017876213095072896,0.4041500267952385
foundry/Kimi-K2.6,read-known-value,cards,gap-96,target_token_in_candidate,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/Kimi-K2.6,read-known-value,cards,gap-96,marker_in_candidate,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,cards,labeled,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,cards,labeled,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,cards,labeled,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,cards,labeled,no_answer,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,cards,labeled,target_token_in_candidate,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,cards,labeled,marker_in_candidate,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,form,gap-8,delimitation_error,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,form,gap-8,content_exact,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,form,gap-8,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,form,gap-8,no_answer,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,form,gap-8,target_token_in_candidate,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,form,gap-8,marker_in_candidate,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/Kimi-K2.6,read-known-value,form,gap-96,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,form,gap-96,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,form,gap-96,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,form,gap-96,no_answer,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,form,gap-96,target_token_in_candidate,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,form,gap-96,marker_in_candidate,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,form,labeled,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,form,labeled,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,form,labeled,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,form,labeled,no_answer,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,form,labeled,target_token_in_candidate,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,form,labeled,marker_in_candidate,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,table,gap-8,delimitation_error,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,table,gap-8,content_exact,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,table,gap-8,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,table,gap-8,no_answer,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,table,gap-8,target_token_in_candidate,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,table,gap-8,marker_in_candidate,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/Kimi-K2.6,read-known-value,table,gap-96,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,table,gap-96,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,table,gap-96,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,table,gap-96,no_answer,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,table,gap-96,target_token_in_candidate,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,table,gap-96,marker_in_candidate,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,table,labeled,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,table,labeled,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,table,labeled,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,table,labeled,no_answer,0,10,0.0,0.0,0.2775327998628892
foundry/Kimi-K2.6,read-known-value,table,labeled,target_token_in_candidate,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/Kimi-K2.6,read-known-value,table,labeled,marker_in_candidate,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,copy-known-value,canvas-inline-bar,baseline,delimitation_error,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/gpt-5-mini,copy-known-value,canvas-inline-bar,baseline,content_exact,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,copy-known-value,canvas-inline-bar,baseline,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,copy-known-value,canvas-inline-bar,baseline,no_answer,2,10,0.2,0.05668215145437519,0.5098375284633583
foundry/gpt-5-mini,copy-known-value,canvas-inline-bar,baseline,target_token_in_candidate,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/gpt-5-mini,copy-known-value,canvas-inline-bar,baseline,marker_in_candidate,7,10,0.7,0.39677814746114537,0.8922087325936989
foundry/gpt-5-mini,copy-known-value,canvas-inline-bar,format,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,copy-known-value,canvas-inline-bar,format,content_exact,4,10,0.4,0.16818032970623614,0.6873262302663417
foundry/gpt-5-mini,copy-known-value,canvas-inline-bar,format,exact_match,1,10,0.1,0.017876213095072896,0.4041500267952385
foundry/gpt-5-mini,copy-known-value,canvas-inline-bar,format,no_answer,6,10,0.6,0.31267376973365824,0.8318196702937638
foundry/gpt-5-mini,copy-known-value,canvas-inline-bar,format,target_token_in_candidate,4,10,0.4,0.16818032970623614,0.6873262302663417
foundry/gpt-5-mini,copy-known-value,canvas-inline-bar,format,marker_in_candidate,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,copy-known-value,cards,gap-8,delimitation_error,6,10,0.6,0.31267376973365824,0.8318196702937638
foundry/gpt-5-mini,copy-known-value,cards,gap-8,content_exact,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,copy-known-value,cards,gap-8,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,copy-known-value,cards,gap-8,no_answer,4,10,0.4,0.16818032970623614,0.6873262302663417
foundry/gpt-5-mini,copy-known-value,cards,gap-8,target_token_in_candidate,6,10,0.6,0.31267376973365824,0.8318196702937638
foundry/gpt-5-mini,copy-known-value,cards,gap-8,marker_in_candidate,5,10,0.5,0.236593090512564,0.7634069094874361
foundry/gpt-5-mini,copy-known-value,cards,gap-96,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,copy-known-value,cards,gap-96,content_exact,7,10,0.7,0.39677814746114537,0.8922087325936989
foundry/gpt-5-mini,copy-known-value,cards,gap-96,exact_match,4,10,0.4,0.16818032970623614,0.6873262302663417
foundry/gpt-5-mini,copy-known-value,cards,gap-96,no_answer,3,10,0.3,0.10779126740630099,0.6032218525388546
foundry/gpt-5-mini,copy-known-value,cards,gap-96,target_token_in_candidate,7,10,0.7,0.39677814746114537,0.8922087325936989
foundry/gpt-5-mini,copy-known-value,cards,gap-96,marker_in_candidate,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,copy-known-value,cards,labeled,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,copy-known-value,cards,labeled,content_exact,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/gpt-5-mini,copy-known-value,cards,labeled,exact_match,6,10,0.6,0.31267376973365824,0.8318196702937638
foundry/gpt-5-mini,copy-known-value,cards,labeled,no_answer,1,10,0.1,0.017876213095072896,0.4041500267952385
foundry/gpt-5-mini,copy-known-value,cards,labeled,target_token_in_candidate,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/gpt-5-mini,copy-known-value,cards,labeled,marker_in_candidate,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,copy-known-value,form,gap-8,delimitation_error,7,10,0.7,0.39677814746114537,0.8922087325936989
foundry/gpt-5-mini,copy-known-value,form,gap-8,content_exact,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,copy-known-value,form,gap-8,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,copy-known-value,form,gap-8,no_answer,3,10,0.3,0.10779126740630099,0.6032218525388546
foundry/gpt-5-mini,copy-known-value,form,gap-8,target_token_in_candidate,7,10,0.7,0.39677814746114537,0.8922087325936989
foundry/gpt-5-mini,copy-known-value,form,gap-8,marker_in_candidate,7,10,0.7,0.39677814746114537,0.8922087325936989
foundry/gpt-5-mini,copy-known-value,form,gap-96,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,copy-known-value,form,gap-96,content_exact,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/gpt-5-mini,copy-known-value,form,gap-96,exact_match,2,10,0.2,0.05668215145437519,0.5098375284633583
foundry/gpt-5-mini,copy-known-value,form,gap-96,no_answer,1,10,0.1,0.017876213095072896,0.4041500267952385
foundry/gpt-5-mini,copy-known-value,form,gap-96,target_token_in_candidate,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/gpt-5-mini,copy-known-value,form,gap-96,marker_in_candidate,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,copy-known-value,form,labeled,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,copy-known-value,form,labeled,content_exact,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/gpt-5-mini,copy-known-value,form,labeled,exact_match,5,10,0.5,0.236593090512564,0.7634069094874361
foundry/gpt-5-mini,copy-known-value,form,labeled,no_answer,2,10,0.2,0.05668215145437519,0.5098375284633583
foundry/gpt-5-mini,copy-known-value,form,labeled,target_token_in_candidate,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/gpt-5-mini,copy-known-value,form,labeled,marker_in_candidate,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,copy-known-value,table,gap-8,delimitation_error,6,10,0.6,0.31267376973365824,0.8318196702937638
foundry/gpt-5-mini,copy-known-value,table,gap-8,content_exact,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,copy-known-value,table,gap-8,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,copy-known-value,table,gap-8,no_answer,4,10,0.4,0.16818032970623614,0.6873262302663417
foundry/gpt-5-mini,copy-known-value,table,gap-8,target_token_in_candidate,6,10,0.6,0.31267376973365824,0.8318196702937638
foundry/gpt-5-mini,copy-known-value,table,gap-8,marker_in_candidate,5,10,0.5,0.236593090512564,0.7634069094874361
foundry/gpt-5-mini,copy-known-value,table,gap-96,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,copy-known-value,table,gap-96,content_exact,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/gpt-5-mini,copy-known-value,table,gap-96,exact_match,4,10,0.4,0.16818032970623614,0.6873262302663417
foundry/gpt-5-mini,copy-known-value,table,gap-96,no_answer,1,10,0.1,0.017876213095072896,0.4041500267952385
foundry/gpt-5-mini,copy-known-value,table,gap-96,target_token_in_candidate,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/gpt-5-mini,copy-known-value,table,gap-96,marker_in_candidate,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,copy-known-value,table,labeled,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,copy-known-value,table,labeled,content_exact,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/gpt-5-mini,copy-known-value,table,labeled,exact_match,3,10,0.3,0.10779126740630099,0.6032218525388546
foundry/gpt-5-mini,copy-known-value,table,labeled,no_answer,1,10,0.1,0.017876213095072896,0.4041500267952385
foundry/gpt-5-mini,copy-known-value,table,labeled,target_token_in_candidate,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/gpt-5-mini,copy-known-value,table,labeled,marker_in_candidate,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,canvas-inline-bar,baseline,delimitation_error,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,canvas-inline-bar,baseline,content_exact,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,canvas-inline-bar,baseline,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,canvas-inline-bar,baseline,no_answer,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,canvas-inline-bar,baseline,target_token_in_candidate,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,canvas-inline-bar,baseline,marker_in_candidate,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/gpt-5-mini,read-known-value,canvas-inline-bar,format,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,canvas-inline-bar,format,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,canvas-inline-bar,format,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,canvas-inline-bar,format,no_answer,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,canvas-inline-bar,format,target_token_in_candidate,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,canvas-inline-bar,format,marker_in_candidate,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,cards,gap-8,delimitation_error,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,cards,gap-8,content_exact,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,cards,gap-8,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,cards,gap-8,no_answer,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,cards,gap-8,target_token_in_candidate,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,cards,gap-8,marker_in_candidate,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/gpt-5-mini,read-known-value,cards,gap-96,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,cards,gap-96,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,cards,gap-96,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,cards,gap-96,no_answer,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,cards,gap-96,target_token_in_candidate,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,cards,gap-96,marker_in_candidate,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,cards,labeled,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,cards,labeled,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,cards,labeled,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,cards,labeled,no_answer,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,cards,labeled,target_token_in_candidate,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,cards,labeled,marker_in_candidate,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,form,gap-8,delimitation_error,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,form,gap-8,content_exact,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,form,gap-8,exact_match,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,form,gap-8,no_answer,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5-mini,read-known-value,form,gap-8,target_token_in_candidate,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5-mini,read-known-value,form,gap-8,marker_in_candidate,8,10,0.8,0.49016247153664183,0.9433178485456247
foundry/gpt-5-mini,read-known-value,form,gap-96,delimitation_error,0,10,0.0,0.0,0.2775327998628892
